Wall time,Step,Value
1531459987.8852963,0,298.2939453125
1531460004.0431418,1000,221.07327270507812
1531460019.7364407,2000,243.70086669921875
1531460035.4624524,3000,218.462158203125
1531460051.6672416,4000,187.97549438476562
1531460068.0452273,5000,134.94476318359375
1531460084.372538,6000,98.88465881347656
1531460100.3924134,7000,130.30555725097656
1531460116.4723635,8000,204.80479431152344
1531460132.7092128,9000,229.36500549316406
1531460149.7433393,10000,172.50791931152344
1531460166.9393773,11000,119.70849609375
1531460183.5502005,12000,198.70054626464844
1531460200.2686179,13000,110.93290710449219
1531460217.1658816,14000,241.35006713867188
1531460233.6094418,15000,244.7255859375
1531460250.8035185,16000,228.44662475585938
1531460267.920397,17000,186.0184326171875
1531460284.1464782,18000,205.16880798339844
1531460300.5912805,19000,104.47673034667969
1531460316.7636857,20000,201.16598510742188
